epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.62146,1.70303,1.1884,1.28123,0.84142,0.79862,0.79403,0.38461,1.53967,0.94514,1.31022,0.000654088,0.000654088,0.000654088
2,16.9138,1.65586,0.96116,1.21089,0.8603,0.81655,0.84508,0.40577,1.58435,0.83379,1.37103,0.00131204,0.00131204,0.00131204
3,25.4568,1.65691,0.94863,1.20635,0.86935,0.79724,0.8544,0.38571,1.70426,0.97444,1.4686,0.00196119,0.00196119,0.00196119
4,33.8537,1.67234,0.93499,1.18587,0.88939,0.7985,0.86462,0.38348,1.62021,0.88406,1.34545,0.0019604,0.0019604,0.0019604
5,42.1516,1.67573,0.94341,1.19957,0.85784,0.79073,0.83696,0.35184,2.13239,1.65266,1.79438,0.0019472,0.0019472,0.0019472
6,50.7285,1.66692,0.90924,1.20472,0.83306,0.80276,0.82265,0.34727,1.78797,0.98343,1.52994,0.001934,0.001934,0.001934
7,58.9799,1.66584,0.95494,1.19532,0.88657,0.76966,0.86152,0.3909,1.69435,0.88701,1.51529,0.0019208,0.0019208,0.0019208
8,67.3789,1.61017,0.89865,1.16019,0.88311,0.73987,0.83617,0.35841,1.86322,1.03383,1.78926,0.0019076,0.0019076,0.0019076
9,76.2039,1.65983,0.90165,1.15944,0.92263,0.78345,0.8824,0.39287,1.67885,0.91934,1.49385,0.0018944,0.0018944,0.0018944
10,84.7831,1.65572,0.92339,1.17481,0.89585,0.76276,0.86143,0.38863,1.73088,0.87069,1.51175,0.0018812,0.0018812,0.0018812
11,93.3064,1.65366,0.91675,1.17398,0.93458,0.72913,0.86048,0.3544,1.71021,0.87829,1.48,0.001868,0.001868,0.001868
12,101.479,1.59753,0.86821,1.1621,0.89104,0.78759,0.86518,0.38996,1.75616,0.93897,1.5419,0.0018548,0.0018548,0.0018548
13,109.737,1.59257,0.86783,1.16209,0.86529,0.82394,0.87116,0.38282,1.66092,0.85925,1.47282,0.0018416,0.0018416,0.0018416
14,118.223,1.58784,0.87912,1.15389,0.91725,0.73103,0.86249,0.34123,1.76261,0.87137,1.46865,0.0018284,0.0018284,0.0018284
15,126.395,1.58097,0.84727,1.14232,0.89871,0.77102,0.85936,0.3893,1.61738,0.87314,1.4192,0.0018152,0.0018152,0.0018152
16,134.592,1.58825,0.8645,1.16562,0.9124,0.77379,0.87773,0.40405,1.65283,0.85013,1.45804,0.001802,0.001802,0.001802
17,142.828,1.56641,0.86678,1.16497,0.84849,0.7261,0.82692,0.36404,1.64777,0.941,1.40984,0.0017888,0.0017888,0.0017888
18,151.001,1.57856,0.86883,1.16156,0.86978,0.82621,0.88675,0.40679,1.56455,0.77109,1.30371,0.0017756,0.0017756,0.0017756
19,159.287,1.56797,0.84646,1.1511,0.90541,0.81861,0.89036,0.4133,1.64102,0.87258,1.39363,0.0017624,0.0017624,0.0017624
20,167.529,1.57645,0.84975,1.15735,0.90464,0.77197,0.86509,0.37263,1.69522,0.84063,1.37095,0.0017492,0.0017492,0.0017492
21,176.122,1.54263,0.82602,1.13066,0.88664,0.79034,0.87792,0.41814,1.58687,0.79846,1.37826,0.001736,0.001736,0.001736
22,184.447,1.54418,0.8265,1.12849,0.91768,0.77793,0.87395,0.3956,1.62375,0.80476,1.34316,0.0017228,0.0017228,0.0017228
23,192.603,1.58384,0.88516,1.16017,0.88286,0.79172,0.87538,0.40451,1.63793,0.88896,1.38529,0.0017096,0.0017096,0.0017096
24,200.776,1.54168,0.82839,1.13633,0.89365,0.77654,0.86576,0.39226,1.67817,0.83971,1.39679,0.0016964,0.0016964,0.0016964
25,208.96,1.50288,0.81958,1.1293,0.87855,0.8182,0.87875,0.39606,1.75854,0.86582,1.43264,0.0016832,0.0016832,0.0016832
26,217.116,1.50745,0.81338,1.12972,0.86848,0.83586,0.8858,0.43242,1.56896,0.76527,1.35626,0.00167,0.00167,0.00167
27,225.266,1.53095,0.82428,1.13942,0.8831,0.82069,0.89303,0.42642,1.63951,0.80717,1.38817,0.0016568,0.0016568,0.0016568
28,233.413,1.50872,0.8188,1.14505,0.89255,0.78759,0.88239,0.41059,1.60781,0.77809,1.36964,0.0016436,0.0016436,0.0016436
29,241.611,1.51131,0.80706,1.11382,0.87251,0.84414,0.89869,0.43011,1.61769,0.75677,1.35493,0.0016304,0.0016304,0.0016304
30,249.784,1.49648,0.81147,1.1166,0.86837,0.80988,0.87306,0.42454,1.5619,0.80589,1.3218,0.0016172,0.0016172,0.0016172
31,257.919,1.46729,0.80133,1.12559,0.90032,0.80979,0.89636,0.43534,1.60695,0.7367,1.32827,0.001604,0.001604,0.001604
32,266.145,1.49672,0.81083,1.13261,0.89524,0.77791,0.88923,0.43429,1.57448,0.75042,1.32644,0.0015908,0.0015908,0.0015908
