epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8635,2.13634,2.61882,1.75889,0.50601,0.31504,0.32799,0.1021,2.32625,2.26299,1.77739,0.000657005,0.000657005,0.000657005
2,21.52,2.11637,1.73993,1.65792,0.26235,0.34606,0.13251,0.04182,2.36895,2.31132,1.95308,0.00131494,0.00131494,0.00131494
3,32.0472,2.13387,1.71955,1.70366,0.35936,0.29833,0.21558,0.0692,2.14527,4.21407,1.83486,0.00196407,0.00196407,0.00196407
4,42.5058,2.11213,1.59069,1.65631,0.38217,0.46799,0.38522,0.13341,2.28655,2.10203,1.94456,0.0019604,0.0019604,0.0019604
5,53.0087,2.09616,1.54837,1.6727,0.43874,0.37232,0.29713,0.12221,2.15584,2.10124,1.70108,0.0019472,0.0019472,0.0019472
6,63.8152,2.04661,1.5151,1.63044,0.50708,0.49642,0.48238,0.1802,2.05441,1.63044,1.6876,0.001934,0.001934,0.001934
7,74.5168,1.98965,1.41996,1.5901,0.57288,0.51074,0.52244,0.18,2.12312,1.48785,1.73414,0.0019208,0.0019208,0.0019208
8,85.0188,1.98559,1.36252,1.58459,0.63288,0.53938,0.56268,0.21133,2.09266,1.3603,1.67236,0.0019076,0.0019076,0.0019076
9,95.6054,1.96072,1.36902,1.58408,0.57144,0.53461,0.52072,0.1985,2.0528,1.6451,1.71865,0.0018944,0.0018944,0.0018944
10,106.351,1.94641,1.38285,1.57061,0.60576,0.44005,0.45436,0.18323,2.01724,2.02342,1.65373,0.0018812,0.0018812,0.0018812
11,116.701,1.93314,1.31394,1.53581,0.50514,0.4821,0.46091,0.16717,2.05935,1.60466,1.63815,0.001868,0.001868,0.001868
