epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.428874,0,51.0233,0,0,0,0,0,0,10.3359,0,0,0,0
2,0.551754,0,50.877,0,0,0,0,0,0,10.3359,0,1.23763e-05,1.23763e-05,1.23763e-05
3,0.69429,0,51.0003,0,0,0,0,0,0,10.3359,0,2.4505e-05,2.4505e-05,2.4505e-05
4,0.812706,0,51.0021,0,0,0,0,0,0,10.3359,0,3.63862e-05,3.63862e-05,3.63862e-05
5,0.9412,0,50.9398,0,0,0,0,0,0,10.3359,0,4.802e-05,4.802e-05,4.802e-05
6,1.09743,0,51.0714,0,0,0,0,0,0,10.3359,0,5.94062e-05,5.94062e-05,5.94062e-05
7,1.27708,0,50.7581,0,0,0,0,0,0,10.3359,0,7.0545e-05,7.0545e-05,7.0545e-05
8,1.45518,0,50.5589,0,0,0,0,0,0,10.3359,0,8.14362e-05,8.14362e-05,8.14362e-05
9,1.63032,0,50.4529,0,0,0,0,0,0,10.3359,0,9.208e-05,9.208e-05,9.208e-05
10,1.81031,0,50.2213,0,0,0,0,0,0,10.3359,0,0.000102476,0.000102476,0.000102476
11,1.98823,0,49.8629,0,0,0,0,0,0,10.3359,0,0.000112625,0.000112625,0.000112625
12,2.16473,0,49.6677,0,0,0,0,0,0,10.3359,0,0.000122526,0.000122526,0.000122526
13,2.33199,0,49.4177,0,0,0,0,0,0,10.3359,0,0.00013218,0.00013218,0.00013218
14,2.50349,0,49.2428,0,0,0,0,0,0,10.3359,0,0.000141586,0.000141586,0.000141586
15,2.67405,0,48.9793,0,0,0,0,0,0,10.3359,0,0.000150745,0.000150745,0.000150745
16,2.84755,0,48.724,0,0,0,0,0,0,10.3359,0,0.000159656,0.000159656,0.000159656
17,3.02775,0,48.2187,0,0,0,0,0,0,10.3359,0,0.00016832,0.00016832,0.00016832
18,3.204,0,47.9971,0,0,0,0,0,0,10.3359,0,0.000176736,0.000176736,0.000176736
19,3.38365,0,48.053,0,0,0,0,0,0,10.3359,0,0.000184905,0.000184905,0.000184905
20,3.55137,0,47.6828,0,0,0,0,0,0,10.3359,0,0.000192826,0.000192826,0.000192826
21,3.73364,0,47.7859,0,0,0,0,0,0,10.3359,0,0.0002005,0.0002005,0.0002005
22,3.90516,0,47.4121,0,0,0,0,0,0,10.3359,0,0.000207926,0.000207926,0.000207926
23,4.08189,0,47.4075,0,0,0,0,0,0,10.3359,0,0.000215105,0.000215105,0.000215105
24,4.25181,0,46.9891,0,0,0,0,0,0,10.3359,0,0.000222036,0.000222036,0.000222036
25,4.43226,0,46.9885,0,0,0,0,0,0,10.3359,0,0.00022872,0.00022872,0.00022872
26,4.60157,0,46.3347,0,0,0,0,0,0,10.3359,0,0.000235156,0.000235156,0.000235156
27,4.78033,0,46.3692,0,0,0,0,0,0,10.3359,0,0.000241345,0.000241345,0.000241345
28,4.9518,0,45.9479,0,0,0,0,0,0,10.3359,0,0.000247286,0.000247286,0.000247286
29,5.13361,0,45.8556,0,0,0,0,0,0,10.3359,0,0.00025298,0.00025298,0.00025298
30,5.34561,0,45.5969,0,0,0,0,0,0,10.3359,0,0.000258426,0.000258426,0.000258426
31,5.52263,0,45.5128,0,0,0,0,0,0,10.3359,0,0.000263625,0.000263625,0.000263625
32,5.68805,0,45.1203,0,0,0,0,0,0,10.3359,0,0.000268576,0.000268576,0.000268576
33,5.87021,0,45.2032,0,0,0,0,0,0,10.3359,0,0.00027328,0.00027328,0.00027328
34,6.03857,0,44.7934,0,0,0,0,0,0,10.3359,0,0.000277736,0.000277736,0.000277736
35,6.21368,0,44.7048,0,0,0,0,0,0,10.3359,0,0.000281945,0.000281945,0.000281945
36,6.38395,0,44.1106,0,0,0,0,0,0,10.3359,0,0.000285906,0.000285906,0.000285906
37,6.56719,0,44.3314,0,0,0,0,0,0,10.3281,0,0.00028962,0.00028962,0.00028962
38,6.73716,0,43.8943,0,0,0,0,0,0,10.3281,0,0.000293086,0.000293086,0.000293086
